INSERT INTO `Review` (`Review_ID`, `Review_Text`, `Book_ID`, `User_ID`, `Rating`, `Status`)
VALUES
(1, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 28, 22, 5, 'Approved'),
(2, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 9, 38, 1, 'Approved'),
(3, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 143, 78, 2, 'Approved'),
(4, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 28, 40, 3, 'Approved'),
(5, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 7, 17, 4, 'Approved'),
(6, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 6, 69, 2, 'Approved'),
(7, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 35, 70, 2, 'Approved'),
(8, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 144, 6, 5, 'Approved'),
(9, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 29, 76, 5, 'Approved'),
(10, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 48, 75, 2, 'Approved'),
(11, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 44, 46, 1, 'Approved'),
(12, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 106, 25, 4, 'Approved'),
(13, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 1, 71, 1, 'Approved'),
(14, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 126, 16, 1, 'Approved'),
(15, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 71, 45, 3, 'Approved'),
(16, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 3, 60, 2, 'Approved'),
(17, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 129, 6, 2, 'Approved'),
(18, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 21, 11, 4, 'Approved'),
(19, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 7, 71, 3, 'Approved'),
(20, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 125, 66, 1, 'Approved'),
(21, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 128, 7, 1, 'Approved'),
(22, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 145, 77, 3, 'Approved'),
(23, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 96, 24, 4, 'Approved'),
(24, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 57, 37, 2, 'Approved'),
(25, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 16, 31, 5, 'Approved'),
(26, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 99, 52, 5, 'Approved'),
(27, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 2, 64, 1, 'Approved'),
(28, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 102, 4, 4, 'Approved'),
(29, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 56, 38, 1, 'Approved'),
